tenant,id,name,description,comments,isEveryoneWorkgroup,isAdministratorWorkgroup,users,allowedRoles,deniedRoles
PPS_DEV,1,Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.,False,True,,,
PPS_DEV,36,Approver,Group of approvers,approval permissions ,False,False,,,
PPS_DEV,39,Auditor,users can check auditlogs,permission to read and check audit-logs,False,False,,,
PPS_DEV,9,data.Austria,OMV BO Austria users,are allowed to see on data from BO Austria,False,False,,,
PPS_DEV,33,data.BD.project,Business Development project ,Business Development power user HO,False,False,,,
PPS_DEV,8,data.Corporate,OMV Headoffice users (corporate) ,are allowed to see data from all countries ,False,False,,,
PPS_DEV,10,data.Norway,OMV BO Norway users,are allowed to see on data from BO Norway,False,False,,,
PPS_DEV,12,data.Petrom,OMV Petrom users,are allowed to see on data from OMV Petrom,False,False,,,
PPS_DEV,11,data.Russia,OMV BO Russia users,are allowed to see on data from BO Russia,False,False,,,
PPS_DEV,21,DataFlow.key,Dataflow Key user ,Dataflow Key user in Branchoffice,False,False,,,
PPS_DEV,22,DataFlow.power,Dataflow Power user,Dataflow Power user in Headoffice,False,False,,,
PPS_DEV,40,Developer,internal & external developers,permissions needed for developers,False,False,,,
PPS_DEV,24,Economics.key,Economics key user ,Economics user in Branchoffice,False,False,,,
PPS_DEV,23,Economics.power,Economics power user,Economics power user in headoffice - global settings,False,False,,,
PPS_DEV,2,Everyone,Default workgroup.,This group consists only public permission on the engine.,True,False,,,
PPS_DEV,30,Financials.key,Financials key user,Controlling key user in Branchoffice,False,False,,,
PPS_DEV,29,Financials.power,Financials power user HO,Controlling power user  in Headoffice,False,False,,,
PPS_DEV,4,OMV_CoreTeam,OMV Core Team Members,temp. Group for initial project phast - should disappear at later stage,False,False,,,
PPS_DEV,41,P2V.admin,Plan2Value administrators,permissions to almost everything,False,False,,,
PPS_DEV,20,P2V.base,P2V base access,user are allowed to update their project data,False,False,,,
PPS_DEV,7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support ,False,False,,,
PPS_DEV,6,PetroVR,PetroVR user,Users are allowed to use Economics as a Service ; DataLoader,False,False,,,
PPS_DEV,25,Portfolio,Portfolio user,Portfolio power user in HO,False,False,,,
PPS_DEV,37,Reporting,External Data interface using Odata,permissions to use Odata as interface,False,False,,,
PPS_DEV,32,Reserves.key,Resources/Reserves key user,Reserves key user , QREs,False,False,,,
PPS_DEV,31,Reserves.power,Resources/Reserves power user HO,Reserves power user in Headoffice,False,False,,,
PPS_DEV,38,Useradmin,User for useradministration,permissions to add/change users, workgroups, …,False,False,,,
PPS_DEV,34,zz.BusinessDev_key,Business Development key user,Business Development key user,False,False,,,
PPS_DEV,28,zz.Exploration_key,Exploration key user,Exploration key user,False,False,,,
PPS_DEV,27,zz.Exploration_power,Exploration power user HO,Exploration power user HO,False,False,,,
PPS_DEV,35,zz.Interfaces,group for API usage,permissions used for interface APIs,False,False,,,
PPS_DEV,14,zz.OMV_ArabEmirates,OMV BO ArabEmirates users,are allowed to see on data from BO ArabEmirates,False,False,,,
PPS_DEV,19,zz.OMV_Kazakhstan,OMV BO Kazakhstan users,are allowed to see on data from BO Kazakhstan,False,False,,,
PPS_DEV,16,zz.OMV_Libya,OMV BO Libya users,are allowed to see on data from BO Libya,False,False,,,
PPS_DEV,18,zz.OMV_NewZealand,OMV BO New Zealand users,are allowed to see on data from BO New Zealand,False,False,,,
PPS_DEV,17,zz.OMV_Sapura,OMV Sapura users,are allowed to see on data from OMV Sapura,False,False,,,
PPS_DEV,13,zz.OMV_Tunisia,OMV BO Tunisia users,are allowed to see on data from BO Tunisisa,False,False,,,
PPS_DEV,15,zz.OMV_Yemen,OMV BO Yemen users,are allowed to see on data from BO Yemen,False,False,,,
PPS_DEV,26,zz.PlanPort_key,Planning & Portfolio key user,Planning & Portfolio key user,False,False,,,
