Name,Description,Comments,Users
Approver,"Group of approvers","approval permissions ",
Auditor,"users can check auditlogs","permission to read and check audit-logs",
BusinessDev_key,"Business Development key user","Business Development key user",
BusinessDev_power,"Business Development power user HO","Business Development power user HO",
Controlling_key,"Controlling key user","Controlling key user",
Controlling_power,"Controlling power user HO","Controlling power user HO",
Data_Loader,"Data provider","user are allowed to update their project data",
Dataflow_key,"DF Key user ","DF Key user in Branchoffice",
Dataflow_power,"DF Power user in HO","DF Power user in Headoffice",
Economics_key,"Economics key user ","Economics user in HO + BO",
Economics_power,"Economics power user in HO","Economics power user in headoffice - global settings",
Exploration_key,"Exploration key user","Exploration key user",
Exploration_power,"Exploration power user HO","Exploration power user HO",
Interfaces,"group for API usage","permissions used for interface APIs",
OData,"External Data interface using Odata","permissions to use Odata as interface",
OMV_ArabEmirates,"OMV BO ArabEmirates users","are allowed to see on data from BO ArabEmirates",
OMV_Austria,"OMV BO Austria users","are allowed to see on data from BO Austria",
OMV_Kazakhstan,"OMV BO Kazakhstan users","are allowed to see on data from BO Kazakhstan",
OMV_Libya,"OMV BO Libya users","are allowed to see on data from BO Libya",
OMV_NewZealand,"OMV BO New Zealand users","are allowed to see on data from BO New Zealand",
OMV_Norway,"OMV BO Norway users","are allowed to see on data from BO Norway",
OMV_Petrom,"OMV Petrom users","are allowed to see on data from OMV Petrom",
OMV_Russia,"OMV BO Russia users","are allowed to see on data from BO Russia",
OMV_Sapura,"OMV Sapura users","are allowed to see on data from OMV Sapura",
OMV_Tunisia,"OMV BO Tunisia users","are allowed to see on data from BO Tunisisa",
OMV_Upstream,"OMV Headoffice users (corporate) ","are allowed to see data from all countries ",
OMV_Yemen,"OMV BO Yemen users","are allowed to see on data from BO Yemen",
PlanPort_key,"Planning & Portfolio key user","Planning & Portfolio key user",
PlanPort_power,"Planning & Portfolio power user in HO","Planning & Portfolio power user in HO",
Reserves_key,"Reserves key user","Reserves key user , QREs",Reserves_power,"Reserves power user HO","Reserves power user HO",
Useradmin,"User for useradministration","permissions to add/change users, workgroups, …",
