data,eco,fin,key,res
data.ArabEmirates,data.ArabEmirates.Economics,data.ArabEmirates.Finance,data.ArabEmirates.key,data.ArabEmirates.Reserves
data.Australia,data.Australia.Economics,data.Australia.Finance,data.Australia.key,data.Australia.Reserves
data.Austria,data.Austria.Economics,data.Austria.Finance,data.Austria.Key,data.Austria.Reserves
data.Bulgaria,data.Bulgaria.Economics,data.Bulgaria.Finance,data.Bulgaria.key,data.Bulgaria.Reserves
data.Corporate,data.Corporate.Economics,data.Corporate.Finance,data.Corporate.key,data.Corporate.Reserves
data.Georgia,data.Georgia.Economics,data.Georgia.Finance,data.Georgia.key,data.Georgia.Reserves
data.Kurdistan,data.Kurdistan.Economics,data.Kurdistan.Finance,data.Kurdistan.key,data.Kurdistan.Reserves
data.Libya,data.Libya.Economics,data.Libya.Finance,data.Libya.key,data.Libya.Reserves
data.Malaysia,data.Malaysia.Economics,data.Malaysia.Finance,data.Malaysia.key,data.Malaysia.Reserves
data.Mexico,data.Mexico.Economics,data.Mexico.Finance,data.Mexico.key,data.Mexico.Reserves
data.NewZealand,data.NewZealand.Economics,data.NewZealand.Finance,data.NewZealand.key,data.NewZealand.Reserves
data.Norway,data.Norway.Economics,data.Norway.Finance,data.Norway.Key,data.Norway.Reserves
data.Romania,data.Romania.economics,data.Romania.Finance,data.Romania.key,data.Romania.Reserves
data.Russia,data.Russia.Economics,data.Russia.Finance,data.Russia.Key,data.Russia.Reserves
data.Sapura.Australia,data.Sapura.Australia.Economics,data.Sapura.Australia.Finance,data.Sapura.Australia.key,data.Sapura.Australia.Reserves
data.Sapura.NewZealand,data.Sapura.NewZealand.Economics,data.Sapura.NewZealand.Finance,data.Sapura.NewZealand.key,data.Sapura.NewZealand.Reserves
data.Tunisia,data.Tunisia.Economics,data.Tunisia.Finance,data.Tunisia.Key,data.Tunisia.Reserves
data.Yemen,data.Yemen.Economics,data.Yemen.Finance,data.Yemen.key,data.Yemen.Reserves
data.OMVEP,data.OMVEP.Economics,data.OMVEP.Finance,data.OMVEP.Key,data.OMVEP.Reserves
