LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked
demo1,LOCAL,,ZZ - Demo User 1 - ECO corporate,Headoffice Economist,FALSE,FALSE
demo2,LOCAL,,ZZ - Demo User 2 - PP corporate,Headoffice PP Power User,FALSE,FALSE
demo3,LOCAL,,ZZ - Demo User 3 - FIN corporate,Headoffice Controller,FALSE,FALSE
demo4,LOCAL,,ZZ - Demo User 4 - RES corporate,Headoffice Reserves Power User,FALSE,FALSE
demo5,LOCAL,,ZZ - Demo User 5 - ECO AUT,Local Country Economist Austria,FALSE,FALSE
demo6,LOCAL,,ZZ - Demo User 6 - PP AUT,Local Country PP User Austria,FALSE,FALSE
demo7,LOCAL,,ZZ - Demo User 7 - FIN AUT,Local Country Controller Austria,FALSE,FALSE
demo8,LOCAL,,ZZ - Demo User 8 - RES AUT,Local Country QRE Austria,FALSE,FALSE
demo9,LOCAL,,ZZ - Demo User 9 - ECO NOR,Local Country Economist Norway,FALSE,FALSE
demo10,LOCAL,,ZZ - Demo User 10 - PP NOR,Local Country PP User Norway,FALSE,FALSE
demo11,LOCAL,,ZZ - Demo User 11 - FIN NOR,Local Country Controller Norway,FALSE,FALSE
demo12,LOCAL,,ZZ - Demo User 12 - RES NOR,Local Country QRE Norway,FALSE,FALSE
demo13,LOCAL,,ZZ - Demo User 13 - ECO RUS,Local Country Economist Russia,FALSE,FALSE
demo14,LOCAL,,ZZ - Demo User 14 - PP RUS,Local Country PP User Russia,FALSE,FALSE
demo15,LOCAL,,ZZ - Demo User 15 - FIN RUS,Local Country Controller Russia,FALSE,FALSE
demo16,LOCAL,,ZZ - Demo User 16 - RES RUS,Local Country QRE Russia,FALSE,FALSE
demo17,LOCAL,,ZZ - Demo User 17 - ECO ARE,Local Country Economist UnitedArabEmirates,FALSE,FALSE
demo18,LOCAL,,ZZ - Demo User 18 - ECO AUS,Local Country Economist Australia,FALSE,FALSE
demo19,LOCAL,,ZZ - Demo User 19 - ECO AUS (Sapura),Local Country Economist Australia (Sapura),FALSE,FALSE
demo20,LOCAL,,ZZ - Demo User 20 - ECO BGR,Local Country Economist Bulgaria,FALSE,FALSE
demo21,LOCAL,,ZZ - Demo User 21 - ECO GEO,Local Country Economist Georgia,FALSE,FALSE
demo22,LOCAL,,ZZ - Demo User 22 - ECO KRI,Local Country Economist Kurdistan,FALSE,FALSE
demo23,LOCAL,,ZZ - Demo User 23 - ECO LBY,Local Country Economist Lybia,FALSE,FALSE
demo24,LOCAL,,ZZ - Demo User 24 - ECO MEX,Local Country Economist Mexico,FALSE,FALSE
demo25,LOCAL,,ZZ - Demo User 25 - ECO MYS,Local Country Economist Malaysia,FALSE,FALSE
demo26,LOCAL,,ZZ - Demo User 26 - ECO NZL,Local Country Economist New Zealand,FALSE,FALSE
demo27,LOCAL,,ZZ - Demo User 27 - ECO NZL (Sapura),Local Country Economist New Zealand (Sapura),FALSE,FALSE
demo28,LOCAL,,ZZ - Demo User 28 - ECO ROU,Local Country Economist Romania,FALSE,FALSE
demo29,LOCAL,,ZZ - Demo User 29 - ECO TUN,Local Country Economist Tunisia,FALSE,FALSE
demo30,LOCAL,,ZZ - Demo User 30 - ECO YEM,Local Country Economist Yemen,FALSE,FALSE
demo31,LOCAL,,ZZ - Demo User 31 - FIN ARE,ZZ - Demo User 31 - FIN ARE,FALSE,FALSE
demo32,LOCAL,,ZZ - Demo User 32 - FIN AUS,ZZ - Demo User 32 - FIN AUS,FALSE,FALSE
demo33,LOCAL,,ZZ - Demo User 33 - FIN AUS (Sapura),ZZ - Demo User 33 - FIN AUS (Sapura),FALSE,FALSE
demo34,LOCAL,,ZZ - Demo User 34 - FIN BGR,ZZ - Demo User 34 - FIN BGR,FALSE,FALSE
demo35,LOCAL,,ZZ - Demo User 35 - FIN GEO,ZZ - Demo User 35 - FIN GEO,FALSE,FALSE
demo36,LOCAL,,ZZ - Demo User 36 - FIN KRI,ZZ - Demo User 36 - FIN KRI,FALSE,FALSE
demo37,LOCAL,,ZZ - Demo User 37 - FIN LBY,ZZ - Demo User 37 - FIN LBY,FALSE,FALSE
demo38,LOCAL,,ZZ - Demo User 38 - FIN MEX,ZZ - Demo User 38 - FIN MEX,FALSE,FALSE
demo39,LOCAL,,ZZ - Demo User 39 - FIN MYS,ZZ - Demo User 39 - FIN MYS,FALSE,FALSE
demo40,LOCAL,,ZZ - Demo User 40 - FIN NZL,ZZ - Demo User 40 - FIN NZL,FALSE,FALSE
demo41,LOCAL,,ZZ - Demo User 41 - FIN NZL (Sapura),ZZ - Demo User 41 - FIN NZL (Sapura),FALSE,FALSE
demo42,LOCAL,,ZZ - Demo User 42 - FIN ROU,ZZ - Demo User 42 - FIN ROU,FALSE,FALSE
demo43,LOCAL,,ZZ - Demo User 43 - FIN TUN,ZZ - Demo User 43 - FIN TUN,FALSE,FALSE
demo44,LOCAL,,ZZ - Demo User 44 - FIN YEM,ZZ - Demo User 44 - FIN YEM,FALSE,FALSE
demo45,LOCAL,,ZZ - Demo User 45 - PP ARE,ZZ - Demo User 45 - PP ARE,TRUE,FALSE
demo46,LOCAL,,ZZ - Demo User 46 - PP AUS,ZZ - Demo User 46 - PP AUS,FALSE,FALSE
demo47,LOCAL,,ZZ - Demo User 47 - PP AUS (Sapura),ZZ - Demo User 47 - PP AUS (Sapura),FALSE,FALSE
demo48,LOCAL,,ZZ - Demo User 48 - PP BGR,ZZ - Demo User 48 - PP BGR,TRUE,FALSE
demo49,LOCAL,,ZZ - Demo User 49 - PP GEO,ZZ - Demo User 49 - PP GEO,TRUE,FALSE
demo50,LOCAL,,ZZ - Demo User 50 - PP KRI,ZZ - Demo User 50 - PP KRI,TRUE,FALSE
demo51,LOCAL,,ZZ - Demo User 51 - PP LBY,ZZ - Demo User 51 - PP LBY,TRUE,FALSE
demo52,LOCAL,,ZZ - Demo User 52 - PP MEX,ZZ - Demo User 52 - PP MEX,TRUE,FALSE
demo53,LOCAL,,ZZ - Demo User 53 - PP MYS,ZZ - Demo User 53 - PP MYS,TRUE,FALSE
demo54,LOCAL,,ZZ - Demo User 54 - PP NZL,ZZ - Demo User 54 - PP NZL,FALSE,FALSE
demo55,LOCAL,,ZZ - Demo User 55 - PP NZL (Sapura),ZZ - Demo User 55 - PP NZL (Sapura),FALSE,FALSE
demo56,LOCAL,,ZZ - Demo User 56 - PP ROU,ZZ - Demo User 56 - PP ROU,TRUE,FALSE
demo57,LOCAL,,ZZ - Demo User 57 - PP TUN,ZZ - Demo User 57 - PP TUN,TRUE,FALSE
demo58,LOCAL,,ZZ - Demo User 58 - PP YEM,ZZ - Demo User 58 - PP YEM,TRUE,FALSE
demo59,LOCAL,,ZZ - Demo User 59 - RES ARE,ZZ - Demo User 59 - RES ARE,TRUE,FALSE
demo60,LOCAL,,ZZ - Demo User 60 - RES AUS,ZZ - Demo User 60 - RES AUS,FALSE,FALSE
demo61,LOCAL,,ZZ - Demo User 61 - RES AUS (Sapura),ZZ - Demo User 61 - RES AUS (Sapura),FALSE,FALSE
demo62,LOCAL,,ZZ - Demo User 62 - RES BGR,ZZ - Demo User 62 - RES BGR,TRUE,FALSE
demo63,LOCAL,,ZZ - Demo User 63 - RES GEO,ZZ - Demo User 63 - RES GEO,TRUE,FALSE
demo64,LOCAL,,ZZ - Demo User 64 - RES KRI,ZZ - Demo User 64 - RES KRI,TRUE,FALSE
demo65,LOCAL,,ZZ - Demo User 65 - RES LBY,ZZ - Demo User 65 - RES LBY,TRUE,FALSE
demo66,LOCAL,,ZZ - Demo User 66 - RES MEX,ZZ - Demo User 66 - RES MEX,TRUE,FALSE
demo67,LOCAL,,ZZ - Demo User 67 - RES MYS,ZZ - Demo User 67 - RES MYS,TRUE,FALSE
demo68,LOCAL,,ZZ - Demo User 68 - RES NZL,ZZ - Demo User 68 - RES NZL,FALSE,FALSE
demo69,LOCAL,,ZZ - Demo User 69 - RES NZL (Sapura),ZZ - Demo User 69 - RES NZL (Sapura),FALSE,FALSE
demo70,LOCAL,,ZZ - Demo User 70 - RES ROU,ZZ - Demo User 70 - RES ROU,TRUE,FALSE
demo71,LOCAL,,ZZ - Demo User 71 - RES TUN,ZZ - Demo User 71 - RES TUN,TRUE,FALSE
demo72,LOCAL,,ZZ - Demo User 72 - RES YEM,ZZ - Demo User 72 - RES YEM,TRUE,FALSE
